uid,sector,country,year,risk_scenario,total_emissions_tonnes,emissions_abated,price_of_carbon,carbon_cost_total_usd,carbon_cost_avoided_usd,abated_tonnes_cost
C010,Utilities,India,2039,Medium Risk,13418240,0,16.666578947368407,223636156.29,0.0,0.0
C010,Utilities,India,2039,High Risk,13418240,0,35.66421052631631,478550936.25,0.0,0.0
C010,Utilities,India,2040,Low Risk,13418240,0,11.610000000000014,155785766.4,0.0,0.0
C010,Utilities,India,2040,Medium Risk,13418240,0,17.200000000000045,230793728.0,0.0,0.0
C010,Utilities,India,2040,High Risk,13418240,0,37.590000000000146,504391641.6,0.0,0.0
C010,Utilities,India,2041,Low Risk,13418240,0,11.789736842105299,158197518.48,0.0,0.0
C010,Utilities,India,2041,Medium Risk,13418240,0,17.733421052631684,237951299.71,0.0,0.0
C010,Utilities,India,2041,High Risk,13418240,0,39.515789473684436,530232346.95,0.0,0.0
C010,Utilities,India,2042,Low Risk,13418240,0,11.969473684210527,160609270.57,0.0,0.0
C010,Utilities,India,2042,Medium Risk,13418240,0,18.266842105263322,245108871.41,0.0,0.0
C010,Utilities,India,2042,High Risk,13418240,0,41.441578947368725,556073052.29,0.0,0.0
C010,Utilities,India,2043,Low Risk,13418240,0,12.149210526315812,163021022.65,0.0,0.0
C010,Utilities,India,2043,Medium Risk,13418240,0,18.800263157894733,252266443.12,0.0,0.0
C010,Utilities,India,2043,High Risk,13418240,0,43.367368421053015,581913757.64,0.0,0.0
C010,Utilities,India,2044,Low Risk,13418240,0,12.328947368421098,165432774.74,0.0,0.0
C010,Utilities,India,2044,Medium Risk,13418240,0,19.33368421052637,259424014.82,0.0,0.0
C010,Utilities,India,2044,High Risk,13418240,0,45.293157894737305,607754462.99,0.0,0.0
C010,Utilities,India,2045,Low Risk,13418240,0,12.508684210526326,167844526.82,0.0,0.0
C010,Utilities,India,2045,Medium Risk,13418240,0,19.86710526315801,266581586.53,0.0,0.0
C010,Utilities,India,2045,High Risk,13418240,0,47.218947368421595,633595168.34,0.0,0.0
C010,Utilities,India,2046,Low Risk,13418240,0,12.688421052631611,170256278.91,0.0,0.0
C010,Utilities,India,2046,Medium Risk,13418240,0,20.400526315789648,273739158.23,0.0,0.0
C010,Utilities,India,2046,High Risk,13418240,0,49.14473684210543,659435873.68,0.0,0.0
C010,Utilities,India,2047,Low Risk,13418240,0,12.86815789473684,172668030.99,0.0,0.0
C010,Utilities,India,2047,Medium Risk,13418240,0,20.93394736842106,280896729.94,0.0,0.0
C010,Utilities,India,2047,High Risk,13418240,0,51.07052631578972,685276579.03,0.0,0.0
C010,Utilities,India,2048,Low Risk,13418240,0,13.047894736842125,175079783.07,0.0,0.0
C010,Utilities,India,2048,Medium Risk,13418240,0,21.467368421052697,288054301.64,0.0,0.0
C010,Utilities,India,2048,High Risk,13418240,0,52.99631578947401,711117284.38,0.0,0.0
C010,Utilities,India,2049,Low Risk,13418240,0,13.22763157894741,177491535.16,0.0,0.0
C010,Utilities,India,2049,Medium Risk,13418240,0,22.000789473684335,295211873.35,0.0,0.0
C010,Utilities,India,2049,High Risk,13418240,0,54.9221052631583,736957989.73,0.0,0.0
C010,Utilities,India,2050,Low Risk,13418240,0,13.407368421052638,179903287.24,0.0,0.0
C010,Utilities,India,2050,Medium Risk,13418240,0,22.534210526315746,302369445.05,0.0,0.0
C010,Utilities,India,2050,High Risk,13418240,0,56.84789473684259,762798695.07,0.0,0.0
C011,Materials,Unknown,2025,Low Risk,38400000,0,28.679473684210507,1101291789.47,0.0,0.0
C011,Materials,Unknown,2025,Medium Risk,38400000,0,27.57526315789528,1058890105.26,0.0,0.0
C011,Materials,Unknown,2025,High Risk,38400000,0,29.71131578947461,1140914526.32,0.0,0.0
C011,Materials,Unknown,2026,Low Risk,36915000,14850000,29.01684210526321,1071156726.32,430900105.26,430900105.26
C011,Materials,Unknown,2026,Medium Risk,36915000,14850000,30.23157894736869,1115998736.84,448938947.37,448938947.37
C011,Materials,Unknown,2026,High Risk,36915000,14850000,34.74789473684359,1282718534.21,516006236.84,516006236.84
C011,Materials,Unknown,2027,Low Risk,35430000,14850000,29.354210526315796,1040019678.95,435910026.32,435910026.32
C011,Materials,Unknown,2027,Medium Risk,35430000,14850000,32.88789473684301,1165218110.53,488385236.84,488385236.84
C011,Materials,Unknown,2027,High Risk,35430000,14850000,39.78447368421075,1409563902.63,590799434.21,590799434.21
C011,Materials,Unknown,2028,Low Risk,33945000,14850000,29.691578947368384,1007880647.37,440919947.37,440919947.37
C011,Materials,Unknown,2028,Medium Risk,33945000,14850000,35.54421052631642,1206548226.32,527831526.32,527831526.32
C011,Materials,Unknown,2028,High Risk,33945000,14850000,44.82105263157973,1521450631.58,665592631.58,665592631.58
C011,Materials,Unknown,2029,Low Risk,32460000,14850000,30.028947368421086,974739631.58,445929868.42,445929868.42
C011,Materials,Unknown,2029,Medium Risk,32460000,14850000,38.20052631578983,1239989084.21,567277815.79,567277815.79
C011,Materials,Unknown,2029,High Risk,32460000,14850000,49.85763157894871,1618378721.05,740385828.95,740385828.95
C011,Materials,Unknown,2030,Low Risk,30975000,14850000,30.366315789473674,940596631.58,450939789.47,450939789.47
C011,Materials,Unknown,2030,Medium Risk,30975000,14850000,40.85684210526415,1265540684.21,606724105.26,606724105.26
C011,Materials,Unknown,2030,High Risk,30975000,14850000,54.89421052631769,1700348171.05,815179026.32,815179026.32
C011,Materials,Unknown,2031,Low Risk,30975000,0,30.703684210526376,951046618.42,0.0,0.0
C011,Materials,Unknown,2031,Medium Risk,30975000,0,43.51315789473756,1347820065.79,0.0,0.0
C011,Materials,Unknown,2031,High Risk,30975000,0,59.930789473684854,1856356203.95,0.0,0.0
C011,Materials,Unknown,2032,Low Risk,30975000,0,31.041052631578964,961496605.26,0.0,0.0
C011,Materials,Unknown,2032,Medium Risk,30975000,0,46.16947368421097,1430099447.37,0.0,0.0
C011,Materials,Unknown,2032,High Risk,30975000,0,64.96736842105383,2012364236.84,0.0,0.0
C011,Materials,Unknown,2033,Low Risk,30975000,0,31.378421052631552,971946592.11,0.0,0.0
C011,Materials,Unknown,2033,Medium Risk,30975000,0,48.82578947368438,1512378828.95,0.0,0.0
C011,Materials,Unknown,2033,High Risk,30975000,0,70.00394736842281,2168372269.74,0.0,0.0
C011,Materials,Unknown,2034,Low Risk,30975000,0,31.715789473684254,982396578.95,0.0,0.0
C011,Materials,Unknown,2034,Medium Risk,30975000,0,51.4821052631587,1594658210.53,0.0,0.0
C011,Materials,Unknown,2034,High Risk,30975000,0,75.04052631578998,2324380302.63,0.0,0.0
C011,Materials,Unknown,2035,Low Risk,30975000,0,32.05315789473684,992846565.79,0.0,0.0
C011,Materials,Unknown,2035,Medium Risk,30975000,0,54.13842105263211,1676937592.11,0.0,0.0
